   0.0099999998,   0.9998999834,  -0.0099999998
   0.0199999996,   0.9997257590,  -0.0174245853
   0.0299999993,   0.9994797111,  -0.0246068276
   0.0399999991,   0.9991391301,  -0.0340552293
   0.0499999970,   0.9986776710,  -0.0461467505
   0.0599999987,   0.9980898499,  -0.0587795675
   0.0700000003,   0.9973968267,  -0.0693048239
   0.0799999982,   0.9966272116,  -0.0769613013
   0.0899999961,   0.9957914352,  -0.0835746899
   0.0999999940,   0.9948726296,  -0.0918783769
   0.1099999994,   0.9938426614,  -0.1029997692
   0.1199999973,   0.9926884174,  -0.1154231653
   0.1299999952,   0.9914246202,  -0.1263826489
   0.1400000006,   0.9900805950,  -0.1344044805
   0.1499999911,   0.9886739850,  -0.1406614333
   0.1599999964,   0.9871950746,  -0.1478940099
   0.1700000018,   0.9856161475,  -0.1578902006
   0.1799999923,   0.9839177132,  -0.1698411107
   0.1899999976,   0.9821068645,  -0.1810840517
   0.1999999881,   0.9802113771,  -0.1895500720
   0.2099999934,   0.9782547355,  -0.1956656128
   0.2199999988,   0.9762351513,  -0.2019598782
   0.2299999893,   0.9741277695,  -0.2107389867
   0.2399999946,   0.9719080925,  -0.2219652236
   0.2500000000,   0.9695751667,  -0.2332912087
   0.2599999905,   0.9671530128,  -0.2422175556
   0.2699999809,   0.9646691084,  -0.2483903319
   0.2800000012,   0.9621298313,  -0.2539259493
   0.2899999917,   0.9595151544,  -0.2614648938
   0.2999999821,   0.9567977190,  -0.2717436254
   0.3100000024,   0.9539685249,  -0.2829169929
   0.3199999928,   0.9510459900,  -0.2922542095
   0.3299999833,   0.9480594993,  -0.2986491323
   0.3400000036,   0.9450231194,  -0.3036367595
   0.3499999940,   0.9419233203,  -0.3099815547
   0.3599999845,   0.9387319684,  -0.3191354275
   0.3700000048,   0.9354329705,  -0.3299024105
   0.3799999952,   0.9320375919,  -0.3395378590
   0.3899999857,   0.9285748601,  -0.3462714553
   0.3999999762,   0.9250655174,  -0.3509344459
   0.4099999964,   0.9215035439,  -0.3561950624
   0.4199999869,   0.9178624749,  -0.3641049564
   0.4299999774,   0.9141203761,  -0.3742126226
